Unique_key,Denomination
OC10000,10000000.0
OC10001,10000000.0
OC10002,10000000.0
OC10003,10000000.0
OC10004,10000000.0
OC10005,10000000.0
OC10006,10000000.0
OC10007,10000000.0
OC10009,10000000.0
OC10010,10000000.0
OC10011,10000000.0
OC10012,10000000.0
OC10013,10000000.0
OC10014,10000000.0
OC10015,10000000.0
OC10016,10000000.0
OC10017,10000000.0
OC10018,10000000.0
OC10019,10000000.0
OC10020,10000000.0
OC10021,10000000.0
OC10022,10000000.0
OC10023,10000000.0
OC10024,10000000.0
OC10025,10000000.0
OC10026,10000000.0
OC10027,10000000.0
OC10028,10000000.0
OC10029,10000000.0
OC10030,10000000.0
OC10031,10000000.0
OC10032,10000000.0
OC10033,10000000.0
OC10034,10000000.0
OC10035,10000000.0
OC10036,10000000.0
OC10037,10000000.0
OC10038,10000000.0
OC10039,10000000.0
OC10040,10000000.0
OC10041,10000000.0
OC10042,10000000.0
OC10043,10000000.0
OC10044,10000000.0
OC10045,10000000.0
OC10046,10000000.0
OC10047,10000000.0
OC10048,10000000.0
OC10049,10000000.0
OC10050,10000000.0
OC10051,10000000.0
OC10052,10000000.0
OC10053,10000000.0
OC10054,10000000.0
OC10055,10000000.0
OC10056,10000000.0
OC10057,10000000.0
OC10058,10000000.0
OC10059,10000000.0
OC10060,10000000.0
OC10061,10000000.0
OC10062,10000000.0
OC10063,10000000.0
OC10064,10000000.0
OC10065,10000000.0
OC10066,10000000.0
OC10067,10000000.0
OC10068,10000000.0
OC10069,10000000.0
OC10070,10000000.0
OC10071,10000000.0
OC10072,10000000.0
OC10073,10000000.0
OC10074,10000000.0
OC10075,10000000.0
OC10076,10000000.0
OC10077,10000000.0
OC10078,10000000.0
OC10079,10000000.0
OC10080,10000000.0
OC10081,10000000.0
OC10082,10000000.0
OC10083,10000000.0
OC10084,10000000.0
OC10085,10000000.0
OC10086,10000000.0
OC10087,10000000.0
OC10088,10000000.0
OC10089,10000000.0
OC10090,10000000.0
OC10091,10000000.0
OC10092,10000000.0
OC10093,10000000.0
OC10094,10000000.0
OC10095,10000000.0
OC10096,10000000.0
OC10097,10000000.0
OC10098,10000000.0
OC10099,10000000.0
OC10100,10000000.0
OC10101,10000000.0
OC10102,10000000.0
OC10103,10000000.0
OC10104,10000000.0
OC10105,10000000.0
OC10106,10000000.0
OC10107,10000000.0
OC10108,10000000.0
OC10109,10000000.0
OC10110,10000000.0
OC10111,10000000.0
OC10112,10000000.0
OC10113,10000000.0
OC10114,10000000.0
OC10115,10000000.0
OC10116,10000000.0
OC10117,10000000.0
OC10118,10000000.0
OC10119,10000000.0
OC10120,10000000.0
OC10121,10000000.0
OC10122,10000000.0
OC10123,10000000.0
OC10124,10000000.0
OC10125,10000000.0
OC10126,10000000.0
OC10127,10000000.0
OC10128,10000000.0
OC10129,10000000.0
OC10130,10000000.0
OC10131,10000000.0
OC10132,10000000.0
OC10133,10000000.0
OC10134,10000000.0
OC10135,10000000.0
OC10136,10000000.0
OC10137,10000000.0
OC10138,10000000.0
OC10139,10000000.0
OC1014,10000000.0
OC10140,10000000.0
OC10141,10000000.0
OC10142,10000000.0
OC10143,10000000.0
OC10144,10000000.0
OC10145,10000000.0
OC10146,10000000.0
OC10147,10000000.0
OC10148,10000000.0
OC10149,10000000.0
OC1015,10000000.0
OC10150,10000000.0
OC10151,10000000.0
OC10152,10000000.0
OC10153,10000000.0
OC10154,10000000.0
OC10155,10000000.0
OC10156,10000000.0
OC10157,10000000.0
OC10158,10000000.0
OC10159,10000000.0
OC1016,10000000.0
OC10160,10000000.0
OC10161,10000000.0
OC10162,10000000.0
OC10163,10000000.0
OC10164,10000000.0
OC10165,10000000.0
OC10166,10000000.0
OC10167,10000000.0
OC10168,10000000.0
OC10169,10000000.0
OC1017,10000000.0
OC10170,10000000.0
OC10171,10000000.0
OC10172,10000000.0
OC10173,10000000.0
OC10174,10000000.0
OC10175,10000000.0
OC10176,10000000.0
OC10177,10000000.0
OC10178,10000000.0
OC10179,10000000.0
OC1018,10000000.0
OC10180,10000000.0
OC10181,10000000.0
OC10182,10000000.0
OC10183,10000000.0
OC10184,10000000.0
OC10185,10000000.0
OC10186,10000000.0
OC10187,10000000.0
OC10188,10000000.0
OC10189,10000000.0
OC1019,10000000.0
OC10190,10000000.0
OC10191,10000000.0
OC10192,10000000.0
OC10193,10000000.0
OC10194,10000000.0
OC10195,10000000.0
OC10196,10000000.0
OC10197,10000000.0
OC10198,10000000.0
OC10199,10000000.0
OC1020,10000000.0
OC10200,10000000.0
OC10201,10000000.0
OC10202,10000000.0
OC10203,10000000.0
OC10204,10000000.0
OC10205,10000000.0
OC10206,10000000.0
OC10207,10000000.0
OC10208,10000000.0
OC10209,10000000.0
OC1021,10000000.0
OC10210,10000000.0
OC10211,10000000.0
OC10212,10000000.0
OC10213,10000000.0
OC10214,10000000.0
OC10215,10000000.0
OC10216,10000000.0
OC10217,10000000.0
OC10218,10000000.0
OC10219,10000000.0
OC1022,10000000.0
OC10220,10000000.0
OC10221,10000000.0
OC10222,10000000.0
OC10223,10000000.0
OC10224,10000000.0
OC10225,10000000.0
OC10226,10000000.0
OC10227,10000000.0
OC10228,10000000.0
OC10229,10000000.0
OC1023,10000000.0
OC10230,10000000.0
OC10231,10000000.0
OC10232,10000000.0
OC10233,10000000.0
OC10234,10000000.0
OC10235,10000000.0
OC10236,10000000.0
OC10237,10000000.0
OC10238,10000000.0
OC10239,10000000.0
OC1024,10000000.0
OC10240,10000000.0
OC10241,10000000.0
OC10242,10000000.0
OC10243,10000000.0
OC10244,10000000.0
OC10245,10000000.0
OC10246,10000000.0
OC10247,10000000.0
OC10248,10000000.0
OC10249,10000000.0
OC1025,10000000.0
OC10250,10000000.0
OC10251,10000000.0
OC10252,10000000.0
OC10253,10000000.0
OC10254,10000000.0
OC10255,10000000.0
OC10256,10000000.0
OC10257,10000000.0
OC10258,10000000.0
OC10259,10000000.0
OC1026,10000000.0
OC10260,10000000.0
OC10261,10000000.0
OC10262,10000000.0
OC10263,10000000.0
OC10264,10000000.0
OC10265,10000000.0
OC10266,10000000.0
OC10267,10000000.0
OC10268,10000000.0
OC10269,10000000.0
OC1027,10000000.0
OC10270,10000000.0
OC10271,10000000.0
OC10272,10000000.0
OC10273,10000000.0
OC10274,10000000.0
OC10275,10000000.0
OC10276,10000000.0
OC10277,10000000.0
OC10278,10000000.0
OC10279,10000000.0
OC1028,10000000.0
